"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
10100,"Northeast Climate Region",189501,18.8,32,-2.5,21.3
10100,"Northeast Climate Region",189502,15.6,8,-6.9,22.5
10100,"Northeast Climate Region",189503,27.6,12,-4.7,32.3
10100,"Northeast Climate Region",189504,43.5,50,-0.3,43.8
10100,"Northeast Climate Region",189505,57.1,95,1.9,55.2
10100,"Northeast Climate Region",189506,67.2,123,3.2,64
10100,"Northeast Climate Region",189507,65.7,2,-3.2,68.9
10100,"Northeast Climate Region",189508,66.7,59,-0.0,66.7
10100,"Northeast Climate Region",189509,61.6,101,2.0,59.6
10100,"Northeast Climate Region",189510,42.9,2,-5.8,48.7
10100,"Northeast Climate Region",189511,37.6,69,0.4,37.2
10100,"Northeast Climate Region",189512,28.2,83,2.5,25.7
10100,"Northeast Climate Region",189601,19.2,34,-2.1,21.3
10100,"Northeast Climate Region",189602,22.2,55,-0.3,22.5
10100,"Northeast Climate Region",189603,25.3,3,-7.0,32.3
10100,"Northeast Climate Region",189604,46.5,104,2.7,43.8
10100,"Northeast Climate Region",189605,59.3,118,4.1,55.2
10100,"Northeast Climate Region",189606,63.2,32,-0.8,64
10100,"Northeast Climate Region",189607,69.1,68,0.2,68.9
10100,"Northeast Climate Region",189608,67.0,65,0.3,66.7
10100,"Northeast Climate Region",189609,58.0,22,-1.6,59.6
10100,"Northeast Climate Region",189610,44.9,9,-3.8,48.7
10100,"Northeast Climate Region",189611,39.9,100,2.7,37.2
10100,"Northeast Climate Region",189612,23.6,33,-2.1,25.7
10100,"Northeast Climate Region",189701,20.3,44,-1.0,21.3
10100,"Northeast Climate Region",189702,23.6,67,1.1,22.5
10100,"Northeast Climate Region",189703,32.0,59,-0.3,32.3
10100,"Northeast Climate Region",189704,44.2,66,0.4,43.8
10100,"Northeast Climate Region",189705,54.4,43,-0.8,55.2
10100,"Northeast Climate Region",189706,60.5,6,-3.5,64
10100,"Northeast Climate Region",189707,70.1,94,1.2,68.9
10100,"Northeast Climate Region",189708,64.7,16,-2.0,66.7
10100,"Northeast Climate Region",189709,58.6,34,-1.0,59.6
10100,"Northeast Climate Region",189710,49.4,70,0.7,48.7
10100,"Northeast Climate Region",189711,35.9,37,-1.3,37.2
10100,"Northeast Climate Region",189712,26.8,66,1.1,25.7
10100,"Northeast Climate Region",189801,21.7,67,0.4,21.3
10100,"Northeast Climate Region",189802,24.8,81,2.3,22.5
10100,"Northeast Climate Region",189803,38.0,115,5.7,32.3
10100,"Northeast Climate Region",189804,41.2,16,-2.6,43.8
10100,"Northeast Climate Region",189805,55.3,54,0.1,55.2
10100,"Northeast Climate Region",189806,64.9,79,0.9,64
10100,"Northeast Climate Region",189807,70.3,98,1.4,68.9
10100,"Northeast Climate Region",189808,68.5,95,1.8,66.7
10100,"Northeast Climate Region",189809,61.7,103,2.1,59.6
10100,"Northeast Climate Region",189810,49.5,72,0.8,48.7
10100,"Northeast Climate Region",189811,35.6,33,-1.6,37.2
10100,"Northeast Climate Region",189812,24.4,40,-1.3,25.7
10100,"Northeast Climate Region",189901,20.2,41,-1.1,21.3
10100,"Northeast Climate Region",189902,18.1,18,-4.4,22.5
10100,"Northeast Climate Region",189903,29.3,25,-3.0,32.3
10100,"Northeast Climate Region",189904,44.8,76,1.0,43.8
10100,"Northeast Climate Region",189905,55.9,66,0.7,55.2
10100,"Northeast Climate Region",189906,65.9,105,1.9,64
10100,"Northeast Climate Region",189907,68.5,46,-0.4,68.9
10100,"Northeast Climate Region",189908,67.2,70,0.5,66.7
10100,"Northeast Climate Region",189909,57.8,16,-1.8,59.6
10100,"Northeast Climate Region",189910,50.4,93,1.7,48.7
10100,"Northeast Climate Region",189911,36.2,42,-1.0,37.2
10100,"Northeast Climate Region",189912,27.5,74,1.8,25.7
10100,"Northeast Climate Region",190001,22.6,77,1.3,21.3
10100,"Northeast Climate Region",190002,21.4,43,-1.1,22.5
10100,"Northeast Climate Region",190003,26.0,6,-6.3,32.3
10100,"Northeast Climate Region",190004,44.1,61,0.3,43.8
10100,"Northeast Climate Region",190005,54.2,41,-1.0,55.2
10100,"Northeast Climate Region",190006,65.5,98,1.5,64
10100,"Northeast Climate Region",190007,69.7,87,0.8,68.9
10100,"Northeast Climate Region",190008,69.7,112,3.0,66.7
10100,"Northeast Climate Region",190009,62.6,112,3.0,59.6
10100,"Northeast Climate Region",190010,53.6,122,4.9,48.7
10100,"Northeast Climate Region",190011,38.2,78,1.0,37.2
10100,"Northeast Climate Region",190012,24.5,42,-1.2,25.7
10100,"Northeast Climate Region",190101,21.0,56,-0.3,21.3
10100,"Northeast Climate Region",190102,16.0,11,-6.5,22.5
10100,"Northeast Climate Region",190103,30.8,47,-1.5,32.3
10100,"Northeast Climate Region",190104,43.8,55,-0.0,43.8
10100,"Northeast Climate Region",190105,54.8,49,-0.4,55.2
10100,"Northeast Climate Region",190106,65.4,97,1.4,64
10100,"Northeast Climate Region",190107,71.7,115,2.8,68.9
10100,"Northeast Climate Region",190108,68.0,87,1.3,66.7
10100,"Northeast Climate Region",190109,60.1,67,0.5,59.6
10100,"Northeast Climate Region",190110,48.2,47,-0.5,48.7
10100,"Northeast Climate Region",190111,31.3,1,-5.9,37.2
10100,"Northeast Climate Region",190112,24.6,43,-1.1,25.7
10100,"Northeast Climate Region",190201,19.5,37,-1.8,21.3
10100,"Northeast Climate Region",190202,20.1,32,-2.4,22.5
10100,"Northeast Climate Region",190203,37.1,112,4.8,32.3
10100,"Northeast Climate Region",190204,44.3,68,0.5,43.8
10100,"Northeast Climate Region",190205,54.5,46,-0.7,55.2
10100,"Northeast Climate Region",190206,61.1,8,-2.9,64
10100,"Northeast Climate Region",190207,67.3,19,-1.6,68.9
10100,"Northeast Climate Region",190208,64.1,9,-2.6,66.7
10100,"Northeast Climate Region",190209,59.3,49,-0.3,59.6
10100,"Northeast Climate Region",190210,48.5,53,-0.2,48.7
10100,"Northeast Climate Region",190211,41.4,113,4.2,37.2
10100,"Northeast Climate Region",190212,22.3,21,-3.4,25.7
10100,"Northeast Climate Region",190301,21.1,58,-0.2,21.3
10100,"Northeast Climate Region",190302,24.5,77,2.0,22.5
10100,"Northeast Climate Region",190303,40.4,122,8.1,32.3
10100,"Northeast Climate Region",190304,44.0,59,0.2,43.8
10100,"Northeast Climate Region",190305,57.2,97,2.0,55.2
10100,"Northeast Climate Region",190306,59.6,1,-4.4,64
10100,"Northeast Climate Region",190307,67.1,16,-1.8,68.9
10100,"Northeast Climate Region",190308,62.1,1,-4.6,66.7
10100,"Northeast Climate Region",190309,59.8,58,0.2,59.6
10100,"Northeast Climate Region",190310,49.0,67,0.3,48.7
10100,"Northeast Climate Region",190311,32.9,7,-4.3,37.2
10100,"Northeast Climate Region",190312,20.2,9,-5.5,25.7
10100,"Northeast Climate Region",190401,13.6,6,-7.7,21.3
10100,"Northeast Climate Region",190402,15.0,5,-7.5,22.5
10100,"Northeast Climate Region",190403,29.8,33,-2.5,32.3
10100,"Northeast Climate Region",190404,40.5,7,-3.3,43.8
10100,"Northeast Climate Region",190405,58.2,111,3.0,55.2
10100,"Northeast Climate Region",190406,63.6,43,-0.4,64
10100,"Northeast Climate Region",190407,67.6,24,-1.3,68.9
10100,"Northeast Climate Region",190408,64.5,13,-2.2,66.7
10100,"Northeast Climate Region",190409,57.9,20,-1.7,59.6
10100,"Northeast Climate Region",190410,45.7,14,-3.0,48.7
10100,"Northeast Climate Region",190411,32.5,4,-4.7,37.2
10100,"Northeast Climate Region",190412,17.9,4,-7.8,25.7
10100,"Northeast Climate Region",190501,16.7,20,-4.6,21.3
10100,"Northeast Climate Region",190502,15.2,6,-7.3,22.5
10100,"Northeast Climate Region",190503,31.4,52,-0.9,32.3
10100,"Northeast Climate Region",190504,43.1,45,-0.7,43.8
10100,"Northeast Climate Region",190505,55.4,58,0.2,55.2
10100,"Northeast Climate Region",190506,63.1,30,-0.9,64
10100,"Northeast Climate Region",190507,69.1,68,0.2,68.9
10100,"Northeast Climate Region",190508,65.0,20,-1.7,66.7
10100,"Northeast Climate Region",190509,59.0,41,-0.6,59.6
10100,"Northeast Climate Region",190510,48.3,49,-0.4,48.7
10100,"Northeast Climate Region",190511,34.2,14,-3.0,37.2
10100,"Northeast Climate Region",190512,27.4,72,1.7,25.7
10100,"Northeast Climate Region",190601,27.9,114,6.6,21.3
10100,"Northeast Climate Region",190602,22.0,52,-0.5,22.5
10100,"Northeast Climate Region",190603,25.7,4,-6.6,32.3
10100,"Northeast Climate Region",190604,43.6,52,-0.2,43.8
10100,"Northeast Climate Region",190605,54.8,49,-0.4,55.2
